time_from_launch[s],elapsed_time[s],launch_clear?,combusting?,para_opened?,air_density[kg/m3],gravity[m/s2],pressure[Pa],temperature[C],wind_x[m/s],wind_y[m/s],wind_z[m/s],mass[kg],Cg_from_nose[m],inertia moment pitch & yaw[kg*m2],inertia moment roll[kg*m2],attack angle[rad],altitude[m],velocity[m/s],airspeed[m/s],accel[m/s2],longitudinal accel[m/s2],normal_force[N],Cnp,Cny,Cmqp,Cmqy,Cp_from_nose[m],Cd,Cna,latitude,longitude,downrange[m],Fst[%],dynamic_pressure[Pa],
0.32100000,0.32100000,0,1,"0",1.22509819,9.80664667,101311.97937517,14.99295602,-3.64957850,-2.65741768,-0.00000000,8.22471273,1.07288136,1.96574727,0.02642000,-0.14751642,1.09100910,7.81824493,8.64987268,29.51565540,29.51565540,0.00000000,1.56808226,-6.22774144,-3.00000000,-3.00000000,1.38000000,0.50000000,11.74700000,40.24286725,140.01044637,0.39709484,15.27953415,45.83110528,
0.33100000,0.33100000,0,1,"0",1.22508943,9.80664644,101311.08502480,14.99247216,-3.69021274,-2.68700524,-0.00000000,8.22414303,1.07284652,1.96558364,0.02662000,-0.14355667,1.16572683,8.11416748,8.92543284,29.65529555,29.65529555,0.00000000,1.53315416,-6.08902221,-3.00000000,-3.00000000,1.38000000,0.50000000,11.74700000,40.24286740,140.01044612,0.42428987,15.28126790,48.79736475,
0.34100000,0.34100000,0,1,"0",1.22508034,9.80664620,101310.15721679,14.99197019,-3.73012876,-2.71606984,-0.00000000,8.22357333,1.07281167,1.96542000,0.02682000,-0.13983018,1.24323123,8.41148627,9.20307293,29.79490901,29.79490901,0.00000000,1.49985416,-5.95676907,-3.00000000,-3.00000000,1.38000000,0.50000000,11.74700000,40.24286756,140.01044586,0.45249916,15.28300166,51.88004001,
0.35100000,0.35100000,0,1,"0",1.22507093,9.80664596,101309.19579425,14.99145004,-3.76935455,-2.74463186,-0.00000000,8.22300364,1.07277682,1.96525636,0.02702000,-0.13631555,1.32353541,8.71020104,9.48274709,29.93449517,29.93449517,0.00000000,1.46806614,-5.83052087,-3.00000000,-3.00000000,1.38000000,0.50000000,11.74700000,40.24286773,140.01044559,0.48172749,15.28473541,55.08071560,
0.36100000,0.36100000,0,1,"0",1.22506118,9.80664570,101308.20060037,14.99091161,-3.80791687,-2.77271077,-0.00000000,8.22243394,1.07274197,1.96509273,0.02722000,-0.13299404,1.40665250,9.01031150,9.76441401,30.07405338,30.07405338,0.00000000,1.43768500,-5.70986015,-3.00000000,-3.00000000,1.38000000,0.50000000,11.74700000,40.24286790,140.01044531,0.51197964,15.28646917,58.40098249,
0.37100000,0.37100000,0,1,"0",1.22505111,9.80664544,101307.17147841,14.99035482,-3.84584124,-2.80032515,-0.00000000,8.22186424,1.07270712,1.96492909,0.02742000,-0.12984909,1.49259560,9.31181738,10.04803627,30.21358300,30.21358300,0.00000000,1.40861532,-5.59440803,-3.00000000,-3.00000000,1.38000000,0.50000000,11.74700000,40.24286808,140.01044503,0.54326037,15.28820292,61.84243746,
0.38100000,0.38100000,0,1,"0",1.22504069,9.80664516,101306.10825906,14.98977958,-3.88315239,-2.82749304,-0.00000000,8.22129455,1.07267227,1.96476545,0.02762000,-0.12686033,1.58137928,9.61523082,10.33395171,30.44625421,30.44625421,0.00000000,1.38071659,-5.48360638,-3.00000000,-3.00000000,1.38000000,0.50000000,11.74700000,40.24286826,140.01044473,0.57557499,15.28993668,65.41138957,
0.39100000,0.39100000,0,1,"0",1.22502995,9.80664488,101305.01070365,14.98918576,-3.91987609,-2.85423317,-0.00000000,8.22072485,1.07263742,1.96460182,0.02782000,-0.12400909,1.67302395,9.92097083,10.62259238,30.67890407,30.67890407,0.00000000,1.35385472,-5.37692273,-3.00000000,-3.00000000,1.38000000,0.50000000,11.74700000,40.24286845,140.01044443,0.60893092,15.29167044,69.11586431,
0.40100000,0.40100000,0,1,"0",1.22501886,9.80664459,101303.87855046,14.98857321,-3.95603722,-2.88056367,-0.00000000,8.22015515,1.07260258,1.96443818,0.02802000,-0.12128565,1.76755147,10.22903721,10.91394227,30.91153151,30.91153151,0.00000000,1.32797278,-5.27413089,-3.00000000,-3.00000000,1.38000000,0.50000000,11.74700000,40.24286864,140.01044411,0.64333612,15.29340419,72.95853143,
0.41100000,0.41100000,0,1,"0",1.22500743,9.80664430,101302.71153779,14.98794179,-3.99165904,-2.90650147,-0.00000000,8.21958545,1.07256773,1.96427455,0.02822000,-0.11868121,1.86498370,10.53942972,11.20798613,31.14413547,31.14413547,0.00000000,1.30301789,-5.17502093,-3.00000000,-3.00000000,1.38000000,0.50000000,11.74700000,40.24286885,140.01044379,0.67879856,15.29513795,76.94207559,
0.42100000,0.42100000,0,1,"0",1.22499566,9.80664399,101301.50940405,14.98729137,-4.02676335,-2.93206245,-0.00000000,8.21901576,1.07253288,1.96411091,0.02842000,-0.11618778,1.96534251,10.85214811,11.50470950,31.37671488,31.37671488,0.00000000,1.27894095,-5.07939776,-3.00000000,-3.00000000,1.38000000,0.50000000,11.74700000,40.24286905,140.01044345,0.71532617,15.29687170,81.06919654,
0.43100000,0.43100000,0,1,"0",1.22498354,9.80664367,101300.27190321,14.98662181,-4.06137017,-2.95726119,-0.00000000,8.21844606,1.07249803,1.96394727,0.02862000,-0.11380351,2.06864797,11.16656176,11.80363132,31.49465112,31.49465112,0.00000000,1.25574924,-4.98729037,-3.00000000,-3.00000000,1.38000000,0.50000000,11.74700000,40.24286927,140.01044311,0.75292628,15.29860546,85.33585242,
0.44100000,0.44100000,0,1,"0",1.22497108,9.80664335,101298.99887473,14.98593301,-4.09549611,-2.98210978,-0.00000000,8.21787636,1.07246318,1.96378364,0.02882000,-0.11152728,2.17491293,11.48215456,12.10415932,31.61255103,31.61255103,0.00000000,1.23345518,-4.89874806,-3.00000000,-3.00000000,1.38000000,0.50000000,11.74700000,40.24286948,140.01044275,0.79160357,15.30033921,89.73566832,
0.45100000,0.45100000,0,1,"0",1.22495826,9.80664301,101297.69018659,14.98522491,-4.12915635,-3.00661928,-0.00000000,8.21730667,1.07242833,1.96362000,0.02902000,-0.10935138,2.28414848,11.79892615,12.40626941,31.73041405,31.73041405,0.00000000,1.21200496,-4.81355709,-3.00000000,-3.00000000,1.38000000,0.50000000,11.74700000,40.24286971,140.01044239,0.83136206,15.30207297,94.27004437,
0.46100000,0.46100000,0,1,"0",1.22494510,9.80664267,101296.34570686,14.98449744,-4.16236548,-3.03080030,-0.00000000,8.21673697,1.07239348,1.96345636,0.02922000,-0.10726888,2.39636569,12.11687616,12.70993947,31.84823960,31.84823960,0.00000000,1.19134907,-4.73152087,-3.00000000,-3.00000000,1.38000000,0.50000000,11.74700000,40.24286994,140.01044202,0.87220578,15.30380672,98.94038423,
0.47100000,0.47100000,0,1,"0",1.22493158,9.80664231,101294.96530368,14.98375053,-4.19513752,-3.05466305,-0.00000000,8.21616727,1.07235864,1.96329273,0.02942000,-0.10527347,2.51157564,12.43600421,13.01514910,31.96602713,31.96602713,0.00000000,1.17144191,-4.65245828,-3.00000000,-3.00000000,1.38000000,0.50000000,11.74700000,40.24287018,140.01044163,0.91413878,15.30554048,103.74809487,
0.48100000,0.48100000,0,1,"0",1.22491771,9.80664195,101293.54884680,14.98298410,-4.22748589,-3.07821731,-0.00000000,8.21559758,1.07232379,1.96312909,0.02962000,-0.10335985,2.62978922,12.75624832,13.32183303,32.07257817,32.07257817,0.00000000,1.15224561,-4.57621893,-3.00000000,-3.00000000,1.38000000,0.50000000,11.74700000,40.24287042,140.01044124,0.95716500,15.30727423,108.69382947,
0.49100000,0.49100000,0,1,"0",1.22490348,9.80664158,101292.09621439,14.98219808,-4.25942330,-3.10147234,-0.00000000,8.21502788,1.07228894,1.96296545,0.02982000,-0.10152323,2.75101661,13.07755772,13.62991652,32.17908919,32.17908919,0.00000000,1.13372572,-4.50266598,-3.00000000,-3.00000000,1.38000000,0.50000000,11.74700000,40.24287067,140.01044083,1.00128816,15.30900799,113.77799221,
0.50100000,0.50100000,0,1,"0",1.22488890,9.80664120,101290.60728746,14.98139242,-4.29096192,-3.12443698,-0.00000000,8.21445818,1.07225409,1.96280182,0.03002000,-0.09975873,2.87526783,13.39993200,13.93938246,32.28555968,32.28555968,0.00000000,1.11584517,-4.43165220,-3.00000000,-3.00000000,1.38000000,0.50000000,11.74700000,40.24287093,140.01044042,1.04651191,15.31074175,119.00186640,
0.51100000,0.51100000,0,1,"0",1.22487397,9.80664081,101289.08194713,14.98056704,-4.32211343,-3.14711976,-0.00000000,8.21388848,1.07221924,1.96263818,0.03022000,-0.09806189,3.00255288,13.72337075,14.25021500,32.39198913,32.39198913,0.00000000,1.09856962,-4.36304120,-3.00000000,-3.00000000,1.38000000,0.50000000,11.74700000,40.24287119,140.01044000,1.09283987,15.31247550,124.36673762,
0.52100000,0.52100000,0,1,"0",1.22485867,9.80664041,101287.52007459,14.97972188,-4.35288909,-3.16952886,-0.00000000,8.21331879,1.07218439,1.96247455,0.03042000,-0.09642862,3.13288175,14.04787355,14.56239938,32.49837702,32.49837702,0.00000000,1.08186720,-4.29670645,-3.00000000,-3.00000000,1.38000000,0.50000000,11.74700000,40.24287146,140.01043956,1.14027570,15.31420926,129.87389358,
0.53100000,0.53100000,0,1,"0",1.22484302,9.80664000,101285.92158636,14.97885690,-4.38329902,-3.19167166,-0.00000000,8.21274909,1.07214955,1.96231091,0.03062000,-0.09486312,3.26626042,14.37200961,14.87483117,32.34464726,32.34464726,0.00000000,1.06579009,-4.23285515,-3.00000000,-3.00000000,1.38000000,0.50000000,11.74700000,40.24287173,140.01043912,1.18882157,15.31594301,135.50475194,
0.54100000,0.54100000,0,1,"0",1.22482701,9.80663958,101284.28659277,14.97797216,-4.41334954,-3.21355276,-0.00000000,8.21217939,1.07211470,1.96214727,0.03082000,-0.09337030,3.40267847,14.69460805,15.18615362,32.19085708,32.19085708,0.00000000,1.05039814,-4.17172504,-3.00000000,-3.00000000,1.38000000,0.50000000,11.74700000,40.24287202,140.01043866,1.23847368,15.31767677,141.23435017,
0.55100000,0.55100000,0,1,"0",1.22481064,9.80663915,101282.61526882,14.97706774,-4.44304596,-3.23517603,-0.00000000,8.21160970,1.07207985,1.96198364,0.03102000,-0.09194504,3.54212145,15.01566827,15.49633898,32.03700718,32.03700718,0.00000000,1.03564750,-4.11314190,-3.00000000,-3.00000000,1.38000000,0.50000000,11.74700000,40.24287230,140.01043820,1.28922678,15.31941052,147.06088360,
0.56100000,0.56100000,0,1,"0",1.22479392,9.80663871,101280.90778963,14.97614375,-4.47239383,-3.25654549,-0.00000000,8.21104000,1.07204500,1.96182000,0.03122000,-0.09058272,3.68457491,15.33518967,15.80536193,31.88309826,31.88309826,0.00000000,1.02149804,-4.05694640,-3.00000000,-3.00000000,1.38000000,0.50000000,11.74700000,40.24287260,140.01043772,1.34107559,15.32114428,152.98255734,
0.57100000,0.57100000,0,1,"0",1.22477685,9.80663827,101279.16433038,14.97520027,-4.50139885,-3.27766532,-0.00000000,8.21047030,1.07201015,1.96165636,0.03142000,-0.08927911,3.83002437,15.65317168,16.11319931,31.72913102,31.72913102,0.00000000,1.00791300,-4.00299251,-3.00000000,-3.00000000,1.38000000,0.50000000,11.74700000,40.24287290,140.01043724,1.39401487,15.32287803,158.99758597,
0.58100000,0.58100000,0,1,"0",1.22475942,9.80663781,101277.38505021,14.97423740,-4.53006711,-3.29853993,-0.00000000,8.20990061,1.07197530,1.96149273,0.03162000,-0.08802737,3.97845722,15.97026885,16.42033413,31.69422659,31.69422659,0.00000000,0.99482684,-3.95101996,-3.00000000,-3.00000000,1.38000000,0.50000000,11.74700000,40.24287320,140.01043675,1.44804001,15.32461179,165.11433284,
0.59100000,0.59100000,0,1,"0",1.22474165,9.80663735,101275.57001962,14.97325516,-4.55840609,-3.31917478,-0.00000000,8.20933091,1.07194045,1.96132909,0.03182000,-0.08682074,4.12986834,16.28701672,16.72736693,31.65927247,31.65927247,0.00000000,0.98217398,-3.90076832,-3.00000000,-3.00000000,1.38000000,0.50000000,11.74700000,40.24287352,140.01043624,1.50314915,15.32634555,171.34429881,
0.60100000,0.60100000,0,1,"0",1.22472352,9.80663687,101273.71927962,14.97225359,-4.58642357,-3.33957553,-0.00000000,8.20876121,1.07190561,1.96116545,0.03202000,-0.08565666,4.28425443,16.60341477,17.03428535,31.62426881,31.62426881,0.00000000,0.96993212,-3.85214897,-3.00000000,-3.00000000,1.38000000,0.50000000,11.74700000,40.24287383,140.01043573,1.55934109,15.32807930,177.68710041,
0.61100000,0.61100000,0,1,"0",1.22470505,9.80663639,101271.83287128,14.97123269,-4.61412712,-3.35974769,-0.00000000,8.20819152,1.07187076,1.96100182,0.03222000,-0.08453280,4.44161221,16.91946251,17.34107784,31.58921575,31.58921575,0.00000000,0.95808049,-3.80507942,-3.00000000,-3.00000000,1.38000000,0.50000000,11.74700000,40.24287416,140.01043520,1.61661464,15.32981306,184.14235317,
0.62100000,0.62100000,0,1,"0",1.22468623,9.80663590,101269.91083578,14.97019250,-4.64152407,-3.37969662,-0.00000000,8.20762182,1.07183591,1.96083818,0.03242000,-0.08344697,4.60193838,17.23515945,17.64773362,31.55411343,31.55411343,0.00000000,0.94659972,-3.75948280,-3.00000000,-3.00000000,1.38000000,0.50000000,11.74700000,40.24287449,140.01043467,1.67496859,15.33154681,190.70967158,
0.63100000,0.63100000,1,1,"0",1.22466706,9.80663540,101267.95324215,14.96913305,-4.66862120,-3.39942722,-0.00000000,8.20705212,1.07180106,1.96067455,0.03262000,-0.08178098,4.76522423,17.55113408,17.95336819,31.83055280,31.63228491,29.11207277,0.92849470,-3.71419130,-3.00000000,-3.00000000,1.38000000,0.50000000,11.74700000,40.24287483,140.01043412,1.73442212,15.33328057,197.36944322,
